participant,block,trial,screenID,setsize,nTarget,nDistractor,layout,colorCon,radius,cueType,cueColor,condition,ratio,correct,acc,RT
20,0,113,judge,8,6,2,intermixed,random,large,color,NA,negative,even,arrowup,1,1974
20,0,114,cue,6,2,4,intermixed,random,large,color,#e21212,negative,even,NA,NA,NA
20,0,114,judge,6,2,4,intermixed,random,large,color,NA,negative,even,arrowup,1,1015
20,0,115,cue,4,2,2,intermixed,random,large,color,#ecb718,negative,even,NA,NA,NA
20,0,115,judge,4,2,2,intermixed,random,large,color,NA,negative,even,arrowdown,1,975
20,0,116,cue,12,6,6,intermixed,random,large,color,#2b5bee,negative,even,NA,NA,NA
20,0,116,judge,12,6,6,intermixed,random,large,color,NA,negative,even,arrowup,1,1262
20,0,117,cue,10,6,4,intermixed,random,large,color,#52970c,negative,even,NA,NA,NA
20,0,117,judge,10,6,4,intermixed,random,large,color,NA,negative,even,arrowdown,1,1281
20,0,118,cue,8,4,4,intermixed,random,large,color,#e21212,negative,even,NA,NA,NA
20,0,118,judge,8,4,4,intermixed,random,large,color,NA,negative,even,arrowup,1,1465
20,0,119,cue,8,2,6,intermixed,random,large,color,#2b5bee,negative,even,NA,NA,NA
20,0,119,judge,8,2,6,intermixed,random,large,color,NA,negative,even,arrowdown,1,981
20,0,120,cue,8,4,4,intermixed,random,large,color,#0eaaaa,negative,even,NA,NA,NA
20,0,120,judge,8,4,4,intermixed,random,large,color,NA,negative,even,arrowup,1,1610
20,0,121,cue,8,6,2,intermixed,random,large,color,#ecb718,negative,even,NA,NA,NA
20,0,121,judge,8,6,2,intermixed,random,large,color,NA,negative,even,arrowup,1,1755
20,0,122,cue,6,2,4,intermixed,random,large,color,#2b5bee,negative,even,NA,NA,NA
20,0,122,judge,6,2,4,intermixed,random,large,color,NA,negative,even,arrowup,1,1427
20,0,123,cue,10,6,4,intermixed,random,large,color,#660fbd,negative,even,NA,NA,NA
20,0,123,judge,10,6,4,intermixed,random,large,color,NA,negative,even,arrowdown,1,1372
20,0,124,cue,6,4,2,intermixed,random,large,color,#2b5bee,negative,even,NA,NA,NA
20,0,124,judge,6,4,2,intermixed,random,large,color,NA,negative,even,arrowup,1,872
20,0,125,cue,8,6,2,intermixed,random,large,color,#e21212,negative,even,NA,NA,NA
20,0,125,judge,8,6,2,intermixed,random,large,color,NA,negative,even,arrowdown,1,1820
20,1,0,cue,10,4,6,intermixed,random,large,color,#52970c,neutral,even,NA,NA,NA
